#Creado con evalua_funcion_vect2D_1par
#FuncionCompX    FuncionCompY 
-200   -670.803
-195.96   -678.558
-191.919   -646.057
-187.879   -631.567
-183.838   -612.343
-179.798   -633.152
-175.758   -612.758
-171.717   -578.034
-167.677   -588.084
-163.636   -560.943
-159.596   -550.925
-155.556   -529.82
-151.515   -528.934
-147.475   -507.961
-143.434   -472.823
-139.394   -460.827
-135.354   -460.773
-131.313   -443.042
-127.273   -457.463
-123.232   -420.952
-119.192   -436.158
-115.152   -411.326
-111.111   -402.786
-107.071   -356.296
-103.03   -374.384
-98.9899   -348.64
-94.9495   -348.261
-90.9091   -335.573
-86.8687   -277.941
-82.8283   -302.726
-78.7879   -274.44
-74.7475   -244.571
-70.7071   -242.029
-66.6667   -243.97
-62.6263   -213.31
-58.5859   -205.187
-54.5455   -192.973
-50.5051   -155.423
-46.4646   -175.499
-42.4242   -137.935
-38.3838   -136.373
-34.3434   -110.511
-30.303   -115.209
-26.2626   -76.941
-22.2222   -93.585
-18.1818   -76.3979
-14.1414   -39.8766
-10.101   -20.5506
-6.06061   -49.3783
-2.0202   8.47845
2.0202   0.974179
6.06061   -7.39902
10.101   11.6615
14.1414   49.0979
18.1818   74.2788
22.2222   60.7364
26.2626   60.0999
30.303   71.59
34.3434   107.43
38.3838   101.205
42.4242   123.793
46.4646   174.624
50.5051   184.911
54.5455   196.062
58.5859   180.142
62.6263   207.75
66.6667   213.119
70.7071   246.453
74.7475   247.58
78.7879   269.231
82.8283   276.029
86.8687   264.625
90.9091   298.704
94.9495   337.716
98.9899   351.419
103.03   354.422
107.071   345.781
111.111   382.817
115.152   391.503
119.192   390.552
123.232   421.452
127.273   408.334
131.313   436.179
135.354   472.596
139.394   483.724
143.434   471.716
147.475   480.209
151.515   528.295
155.556   513.944
159.596   545.095
163.636   572.825
167.677   567.499
171.717   584.805
175.758   609.012
179.798   600.97
183.838   639.913
187.879   626.299
191.919   661.731
195.96   668.671
200   694.253
