#Creado con evalua_funcion_vect2D_1par
#FuncionCompX    FuncionCompY 
0   0
10.0139   2.32441
20.0278   3.1278
30.0417   3.65658
40.0556   4.14377
50.0695   4.07214
60.0834   4.4391
70.0974   5.02606
80.1113   4.8833
90.1252   5.33576
100.139   5.47709
110.153   5.82472
120.167   5.74269
130.181   6.07339
140.195   6.76411
150.209   6.90075
160.223   6.71148
170.236   6.97312
180.25   6.3791
190.264   7.11842
200.278   6.46268
210.292   6.87618
220.306   6.84653
230.32   7.95517
240.334   7.0902
250.348   7.56259
260.362   7.25564
270.376   7.32196
280.389   8.93013
290.403   7.68484
300.417   8.27835
310.431   8.98037
320.445   8.66108
330.459   8.18582
340.473   8.90753
350.487   8.78649
360.501   8.81959
370.515   9.89449
380.529   8.60863
390.542   9.65913
400.556   9.23764
410.57   9.84131
420.584   9.14407
430.598   10.2983
440.612   9.05946
450.626   9.27737
460.64   10.3697
470.654   10.7235
480.668   8.9041
490.682   10.9731
500.695   10.0332
510.709   9.13158
520.723   9.4234
530.737   10.5843
540.751   11.2375
550.765   9.97316
560.779   9.39132
570.793   9.35286
580.807   10.432
590.821   9.56394
600.834   10.0284
610.848   12.0035
620.862   11.8843
630.876   11.8123
640.89   10.3342
650.904   11.0953
660.918   10.7259
670.932   11.8329
680.946   11.209
690.96   11.7009
700.974   11.3825
710.987   10.1525
721.001   11.242
731.015   12.7471
741.029   12.811
751.043   12.2322
761.057   11.044
771.071   12.4081
781.085   12.1697
791.099   11.3945
801.113   12.4323
811.127   10.9751
821.14   11.7998
831.154   13.2233
841.168   13.117
851.182   11.6336
861.196   11.3908
871.21   13.5095
881.224   11.8407
891.238   12.9382
901.252   13.9076
911.266   12.7394
921.28   13.0248
931.293   13.773
941.307   12.4306
951.321   14.133
961.335   12.3982
971.349   13.8619
981.363   13.4565
991.377   14.323
1001.39   12.8596
1011.4   12.0166
1021.42   14.63
1031.43   14.5666
1041.45   11.8931
1051.46   14.5133
1061.47   13.6662
1071.49   12.9543
